Team,Odds,,W-L O/U,Result
Brooklyn Nets,+230,,56.5,44-38 (under)
Los Angeles Lakers,+425,,52.5,33-49 (under)
Milwaukee Bucks,+850,,54.5,51-31 (under)
Golden State Warriors,+1100,,48.5,53-29 (over)
Utah Jazz,+1400,,52.5,49-33 (under)
Phoenix Suns,+1400,,51.5,64-18 (over)
Philadelphia 76ers,+1600,,50.5,51-31 (over)
Los Angeles Clippers,+1600,,45.5,42-40 (under)
Denver Nuggets,+2200,,47.5,48-34 (over)
Dallas Mavericks,+2800,,48.5,52-30 (over)
Atlanta Hawks,+3500,,47.5,43-39 (under)
Miami Heat,+3500,,48.5,53-29 (over)
Boston Celtics,+4000,,45.5,51-31 (over)
Portland Trail Blazers,+5000,,44.5,27-55 (under)
New Orleans Pelicans,+8000,,39.5,36-46 (under)
New York Knicks,+8000,,41.5,37-45 (under)
Memphis Grizzlies,+10000,,41.5,56-26 (over)
Indiana Pacers,+10000,,42.5,25-57 (under)
Toronto Raptors,+10000,,35.5,48-34 (over)
Charlotte Hornets,+10000,,38.5,43-39 (over)
Chicago Bulls,+12500,,42.5,46-36 (over)
Washington Wizards,+15000,,33.5,35-47 (over)
Sacramento Kings,+25000,,36.5,30-52 (under)
San Antonio Spurs,+25000,,28.5,34-48 (over)
Minnesota Timberwolves,+25000,,35.5,46-36 (over)
Cleveland Cavaliers,+50000,,26.5,44-38 (over)
Orlando Magic,+50000,,22.5,22-60 (under)
Oklahoma City Thunder,+50000,,23.5,24-58 (over)
Detroit Pistons,+50000,,24.5,23-59 (under)
Houston Rockets,+50000,,27.5,20-62 (under)